Source,Target,Weight,If_across,Type,Category
Complexe Hospitalier de la Sagamie ,McGill Univeristy ,2,1,undirected,Cooperation
DNA Landmarks Inc.,McGill Univeristy ,1,1,undirected,Cooperation
Eastern Virginia Medical School of the Medical College of Hampton Roads ,McGill Univeristy ,1,1,undirected,Cooperation
Eastern Virginia Medical School of the Medical College of Hampton Roads ,McGill Univeristy ,1,1,directed,Mobility
Hopital Sainte-Justine ,McGill Univeristy ,2,0,undirected,Cooperation
"Human Genome Sciences, Inc.",McGill Univeristy ,1,1,undirected,Cooperation
"Hybridon, Inc.",McGill Univeristy ,2,1,undirected,Cooperation
Hydro-Quebec ,McGill Univeristy ,6,0,undirected,Cooperation
Imperial Cancer Research Technology ,McGill Univeristy ,1,1,undirected,Cooperation
Institut National de la Sante et de la Recherche Medicale ,McGill Univeristy ,1,1,undirected,Cooperation
International Center for Genetic Engineering and Biotechnology ,McGill Univeristy ,1,1,undirected,Cooperation
"Isis Pharmaceuticals, Inc.",McGill Univeristy ,3,1,undirected,Cooperation
Martinex R & D Inc.,McGill Univeristy ,1,1,directed,Mobility
Massachusetts Institute of Technology ,McGill Univeristy ,1,1,directed,Mobility
"Methyl Gene, Inc.",McGill Univeristy ,1,1,directed,Mobility
Micrologix Biotech Inc.,McGill Univeristy ,2,1,directed,Mobility
Nova Molecular Inc.,McGill Univeristy ,1,0,directed,Mobility
Pence ,McGill Univeristy ,1,1,directed,Mobility
Pulp and Paper Research Institute of Canada ,McGill Univeristy ,1,1,directed,Mobility
Regents of the University of Minnesota ,McGill Univeristy ,3,1,directed,Mobility
Royal Institute for the Advancement of Learning ,McGill Univeristy ,1,0,directed,Mobility
SHOWA DENKO K.K.,McGill Univeristy ,1,1,directed,Mobility
"Synergistics Industries, Inc.",McGill Univeristy ,2,1,directed,Mobility
The Administrators of the Tulane Educational Fund ,McGill Univeristy ,3,1,directed,Mobility
The Hong Kong Polytechnic University ,McGill Univeristy ,10,1,directed,Mobility
The Rockefeller University ,McGill Univeristy ,4,1,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,McGill Univeristy ,2,0,directed,Mobility
University of Vermont and State Agricultural College ,McGill Univeristy ,1,1,directed,Mobility
"Polyvalor, Limited Partnership ",ME RESOURCE CORP ,2,1,directed,Mobility
Akzo Nobel ,Merck & Co. Inc.,1,1,directed,Mobility
Johns Hopkins University ,Merck & Co. Inc.,1,1,undirected,Cooperation
McGill Univeristy ,Merck & Co. Inc.,1,1,undirected,Cooperation
Merck Frosst Company ,Merck & Co. Inc.,45,1,directed,Mobility
Merck Sharp & Dohme Corp.,Merck & Co. Inc.,14,1,directed,Mobility
"Axys Pharmaceuticals, Inc.",Merck Frosst Company ,1,1,undirected,Cooperation
Merck & Co. Inc.,Merck Frosst Company ,7,1,undirected,Cooperation
Merck & Co. Inc.,Merck Frosst Company ,6,1,directed,Mobility
Merck Sharp & Dohme Corp.,Merck Frosst Company ,5,1,directed,Mobility
Merk Frosst Canada & Co.,Merck Frosst Company ,5,0,directed,Mobility
Vanderbilt University ,Merck Frosst Company ,4,1,directed,Mobility
Bio-Chem Pharma Inc.,Merck Sharp & Dohme Corp.,2,1,directed,Mobility
Merck & Co. Inc.,Merck Sharp & Dohme Corp.,6,1,undirected,Cooperation
Merck Frosst Company ,Merck Sharp & Dohme Corp.,17,1,directed,Mobility
Merk Frosst Canada & Co.,Merck Sharp & Dohme Corp.,2,1,directed,Mobility
"Methyl Gene, Inc.",Merck Sharp & Dohme Corp.,1,1,directed,Mobility
Merck Frosst Company ,Merk Frosst Canada & Co.,2,0,directed,Mobility
McGill Univeristy ,"Merrimack Pharmaceuticals, Inc.",1,1,directed,Mobility
Delmar Chemicals ,"Methyl Gene, Inc.",1,1,directed,Mobility
EnVivo Pharmaceuticals ,"Methyl Gene, Inc.",1,1,undirected,Cooperation
"Forum Pharmaceuticals, Inc.","Methyl Gene, Inc.",1,1,undirected,Cooperation
Merck Frosst Company ,"Methyl Gene, Inc.",3,1,directed,Mobility
MSD Italia S.R.L.,"Methyl Gene, Inc.",1,1,directed,Mobility
University of Pittsburgh ,"Methyl Gene, Inc.",1,1,directed,Mobility
Micrologix Biotech Inc.,Migenix Inc.,3,0,directed,Mobility
Gemin X Pharmaceuticals Canada inc.,Milestone Pharmaceuticals ,1,1,directed,Mobility
"TaiMed Biologics, Inc.",Milestone Pharmaceuticals ,1,1,directed,Mobility
Merck Frosst Company ,"Millendo Therapeutics, Inc ",1,1,directed,Mobility
Horacio Uri Saragovi ,Mimetogen Pharmaceuticals Inc.,1,0,directed,Mobility
Shire Biochem Inc.,Mimetogen Pharmaceuticals Inc.,1,1,directed,Mobility
Canadian Patent and Development Ltd.,"Minister of Energy, Mines and Resources Canada ",1,1,directed,Mobility
Hydro-Quebec ,Minnesota Mining & Manufacturing Co.,1,1,undirected,Cooperation
Eastern Virginia Medical School of the Medical College of Hampton Roads ,McGill Univeristy ,1,1,undirected,Cooperation
Universite d'Angers ,MOUNT SINAI HOSPITAL ,5,1,directed,Mobility
Merck Sharp & Dohme Corp.,MSD Italia S.R.L.,1,1,undirected,Cooperation
Merk Frosst Canada & Co.,MSD Italia S.R.L.,1,1,directed,Mobility
Hydro-Quebec ,MURATA MANUFACTURING CO.,1,1,undirected,Cooperation
McGill Univeristy ,MURATA MANUFACTURING CO.,1,1,directed,Mobility
SHOWA DENKO K.K.,MURATA MANUFACTURING CO.,1,1,directed,Mobility
Centre National de la Rechecch Scientifique ,Nanoledge Inc.,1,1,undirected,Cooperation
Group NanoXplore Inc.,NanoXplore Inc.,1,0,directed,Mobility
Adaerata Limited Partnership ,National Research Coucil of Canada ,1,1,undirected,Cooperation
Alethia Biotherapeutics Inc.,National Research Coucil of Canada ,1,1,undirected,Cooperation
Canadian Patent and Development Ltd.,National Research Coucil of Canada ,2,0,directed,Mobility
Centre de Recherche du Centre Hospitalier de l'Universite de Montreal ,National Research Coucil of Canada ,1,1,directed,Mobility
Ecole Polytechnique ,National Research Coucil of Canada ,1,1,directed,Mobility
Her Majesty the Queen in Right of Canada as represented by the National ,National Research Coucil of Canada ,3,0,directed,Mobility
Institut National de la Recherche Scientifique ,National Research Coucil of Canada ,1,1,directed,Mobility
The National Research Council of Canada ,National Research Coucil of Canada ,2,0,directed,Mobility
Valorbec S.E.C.,National Research Coucil of Canada ,1,1,directed,Mobility
AstraZeneca A.B.,Neomed Institute ,2,1,directed,Mobility
Oral Delivery Technology Ltd.,Nitrogenix Inc.,1,1,directed,Mobility
McGill Univeristy ,Noranda Inc.,1,0,undirected,Cooperation
The Royal Institute for the Advancement of Learning/McGill University ,Noranda Inc.,1,1,directed,Mobility
Northern Telecom Limited ,Nortel Networks Corporation ,2,0,directed,Mobility
Queen's University ,Nortel Networks Corporation ,2,1,directed,Mobility
Queen's University ,Northern Telecom Limited ,2,1,directed,Mobility
Pharmacia Biotech Inc.,Nova Molecular Inc.,1,1,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,Novartis AG ,4,1,directed,Mobility
McGill Univeristy ,"Nuvelo, Inc.",1,1,directed,Mobility
Nova Molecular Inc.,"Nuvelo, Inc.",1,1,directed,Mobility
Rozen; Rima ,"Nuvelo, Inc.",1,1,directed,Mobility
"Variagenics, Inc.","Nuvelo, Inc.",1,0,directed,Mobility
DMS Pharmaceutical Inc.,Nymox Corporation ,1,1,directed,Mobility
Nymox Pharmaceutical Corporation (St.,Nymox Corporation ,1,1,directed,Mobility
Center for Translation Research in cancer ,Ocean University of China ,1,1,directed,Mobility
McGill Univeristy ,"Ocera Therapeutics, Inc.",1,1,directed,Mobility
The Board of Trustees of the University of Illinois ,"Ocera Therapeutics, Inc.",1,1,directed,Mobility
"Tranzyme Pharma, Inc.","Ocera Therapeutics, Inc.",3,1,directed,Mobility
National Research Coucil of Canada ,Odyssey Thera Inc.,1,1,directed,Mobility
Odyssey Pharmaceuticals Inc.,Odyssey Thera Inc.,3,0,directed,Mobility
"Biosyntech Canada, Inc.",Oligo Medic Inc ,2,1,directed,Mobility
Piramal Healthcare ,Oligo Medic Inc ,2,1,directed,Mobility
Cascades Canada ULC ,ORBITE TECHNOLOGIES INC.,1,1,directed,Mobility
Exploration Orbite VSPA Inc.,ORBITE TECHNOLOGIES INC.,1,1,directed,Mobility
National Research Coucil of Canada ,ORBITE TECHNOLOGIES INC.,1,1,directed,Mobility
Chertkow; Howard ,Osta Biotechnologies ,1,1,directed,Mobility
Queen's University at Kingston ,Osta Biotechnologies ,6,1,directed,Mobility
Mimetogen Pharmaceuticals Inc.,"OTONOMY, INC.",1,1,directed,Mobility
Veolia Water Solutions & Technologies Support ,OTV SA ,2,1,directed,Mobility
Aquaconsult Anlagenbau GmbH ,OVIVO INC ,1,1,undirected,Cooperation
McGill Univeristy ,"Paladin Labs, Inc.",1,0,directed,Mobility
McGill Univeristy ,Pence ,1,1,undirected,Cooperation
Massachusetts Institute of Technology ,"Phagetech, Inc.",1,1,directed,Mobility
Targanta Therapeutics ,"Phagetech, Inc.",2,1,directed,Mobility
Bio-Chem Pharma Inc.,Pharmacor Inc.,1,0,directed,Mobility
Aegera Therapeutics Inc.,Pharmascience Inc.,1,0,directed,Mobility
Merck Frosst Company ,Pharmascience Inc.,1,1,directed,Mobility
Vertex Pharmaceuticals ,Pharmascience Inc.,1,1,directed,Mobility
Centre National de la Rechecch Scientifique ,Phostech Lithium Inc.,3,1,undirected,Cooperation
Universite d'Angers ,Phostech Lithium Inc.,5,0,directed,Mobility
Pharmacia Biotech Inc.,"Pierce Biotechnology, Inc.",1,1,directed,Mobility
"Variagenics, Inc.","Pierce Biotechnology, Inc.",1,1,directed,Mobility
"Biosyntech Canada, Inc.",Piramal Healthcare ,1,1,directed,Mobility
Institut de Cardiologie de Montreal ,PLUMOSCIENCE INC.,2,0,directed,Mobility
HT Materials Corporation ,"Polymics, LTD ",2,1,directed,Mobility
Ecole Polytechnique ,Polyvalor Societe en Commandite ,1,1,directed,Mobility
Corporation de I'Ecole Polytechnique ,"Polyvalor, Limited Partnership ",1,0,directed,Mobility
"Gas Metropolitain and Company, Limited ","Polyvalor, Limited Partnership ",1,0,directed,Mobility
Polyvalor Societe en Commandite ,"Polyvalor, Limited Partnership ",1,1,directed,Mobility
PYROWAVE INC.,"Polyvalor, Limited Partnership ",1,1,directed,Mobility
Centre de Recherche de l'Hopital Ste-Justine ,Procrea BioSciences Inc.,2,0,directed,Mobility
Bio-Chem Pharma Inc.,Prometic Biosciences Inc.,4,1,directed,Mobility
"Tranzyme Pharma, Inc.",Prometic Biosciences Inc.,1,1,directed,Mobility
Pharmacor Inc.,PROMETIC PHARMA SMT LIMITED ,1,1,directed,Mobility
Prometic Biosciences Inc.,PROMETIC PHARMA SMT LIMITED ,7,1,directed,Mobility
Rio Tinto Alcan International Limited ,PROMETIC PHARMA SMT LIMITED ,1,1,directed,Mobility
Shire Biochem Inc.,PROMETIC PHARMA SMT LIMITED ,1,1,directed,Mobility
"TaiMed Biologics, Inc.",PROMETIC PHARMA SMT LIMITED ,1,1,directed,Mobility
McGill Univeristy ,Proscan RX Pharma ,2,0,directed,Mobility
Theratechnologies Inc.,Proscan RX Pharma ,1,1,directed,Mobility
Ecole Polytechnique ,Pulp and Paper Research Institute of Canada ,1,1,undirected,Cooperation
Xerox Corporation ,Pulp and Paper Research Institute of Canada ,1,1,directed,Mobility
Hydro-Quebec ,Pyrogenesis Inc.,1,0,directed,Mobility
"Pegasus Refractory Materials, Inc.",Pyrogenesis Inc.,1,0,directed,Mobility
American Diagnostica Inc.,"Quebepharma Recherche, Inc.",1,1,undirected,Cooperation
Slemon; Clarke ,"Quebepharma Recherche, Inc.",2,1,directed,Mobility
Nortel Networks Corporation ,Queen's University ,2,1,undirected,Cooperation
Osta Biotechnologies ,Queen's University ,2,1,undirected,Cooperation
Schipper; Hyman M.,Queen's University ,1,1,directed,Mobility
The Sir Mortimer B.,Queen's University ,5,1,directed,Mobility
"Bioartificial Gel Technologies Inc, ",RBA Pharma Inc.,2,0,directed,Mobility
ConjuChem Inc.,"RedCell Canada, Inc.",2,0,directed,Mobility
McGill Univeristy ,Regents of the University of Minnesota ,2,1,undirected,Cooperation
Alcan Internatinal Limited ,Rio Tinto Alcan International Limited ,3,0,directed,Mobility
Archambault; Denis ,Roques; Elodie ,1,1,undirected,Cooperation
Noranda Inc.,Royal Canadian Mint ,1,1,directed,Mobility
Adaerata Limited Partnership ,"RSEM, Limited Partnership ",1,0,undirected,Cooperation
British Columbia Cancer Agency Branch ,"RSEM, Limited Partnership ",1,1,undirected,Cooperation
Hospital Sainte-Justine ,"RSEM, Limited Partnership ",1,0,directed,Mobility
Institut de Cardiologie de Montreal ,"RSEM, Limited Partnership ",1,0,directed,Mobility
Sauvageau; Guy ,"RSEM, Limited Partnership ",1,1,directed,Mobility
Theratechnologies Inc.,"RSEM, Limited Partnership ",1,1,directed,Mobility
Universite d'Angers ,"RSEM, Limited Partnership ",2,0,directed,Mobility
"Valorisation HSJ, Limited Partnership ","RSEM, Limited Partnership ",2,0,directed,Mobility
SAFRAN ,SAFRAN AIRCRAFT ENGINES ,1,0,undirected,Cooperation
ACADEMISCH ZIKENHUIS LEIDEN ,SANOFI PASTEUR LIMITED ,1,1,undirected,Cooperation
ARIZONA BOARD OF REGENTS ,SANOFI PASTEUR LIMITED ,1,1,undirected,Cooperation
Centre Hospitalier de l'Universite de Montreal ,SANOFI PASTEUR LIMITED ,1,1,undirected,Cooperation
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS ,SANOFI PASTEUR LIMITED ,1,1,undirected,Cooperation
Humphries; Keith ,Sauvageau; Guy ,1,0,undirected,Cooperation
Institut National de la Sante et de la Recherche Medicale ,Schering Corporation ,1,1,undirected,Cooperation
Chertkow; Howard ,Schipper; Hyman M.,1,0,undirected,Cooperation
The Sir Mortimer B.,Schipper; Hyman M.,1,1,directed,Mobility
Bio-Chem Pharma Inc.,Shire Biochem Inc.,7,1,directed,Mobility
Biochem Therapeutics Incorporated ,Shire Biochem Inc.,1,0,directed,Mobility
"Cytovia, Inc.",Shire Biochem Inc.,1,1,undirected,Cooperation
Delmar Chemicals ,Shire Biochem Inc.,1,1,directed,Mobility
Glaxo Wellcome Inc.,Shire Biochem Inc.,1,1,directed,Mobility
"IAF BioChem International, Inc.",Shire Biochem Inc.,2,1,directed,Mobility
Hydro-Quebec ,SHOWA DENKO K.K.,1,1,undirected,Cooperation
Centre de Recherche de l'Hopital Ste-Justine ,Signalgene ,1,1,directed,Mobility
Torcan Chemical LTD ,Slemon; Clarke ,1,1,directed,Mobility
Hydro-Quebec ,Societe Nationale Elf Aquitaine ,3,1,undirected,Cooperation
Val-Chum Limited Partnership ,Socovar S.E.C.,3,0,directed,Mobility
Universite Pierre Et Marie Curie ,Sorbonne University ,5,0,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,"Synergistics Industries, Inc.",1,1,directed,Mobility
"DANA-FARBER CANCER INSTITUTE, INC.","Syros Pharmaceuticals, Inc.",10,1,directed,Mobility
Kong; Xianqi ,"Syros Pharmaceuticals, Inc.",1,1,directed,Mobility
Merck Frosst Company ,"Syros Pharmaceuticals, Inc.",1,1,directed,Mobility
Targanta Therapeutics ,"Syros Pharmaceuticals, Inc.",1,1,directed,Mobility
Ambrilia Biopharma Inc.,"TaiMed Biologics, Inc.",1,1,directed,Mobility
McGill Univeristy ,"TaiMed Biologics, Inc.",1,1,directed,Mobility
"Methyl Gene, Inc.","TaiMed Biologics, Inc.",1,1,directed,Mobility
Pharmacor Inc.,"TaiMed Biologics, Inc.",2,1,directed,Mobility
Procyon Biopharma Inc.,"TaiMed Biologics, Inc.",1,1,directed,Mobility
Universite d'Angers ,"TaiMed Biologics, Inc.",1,1,directed,Mobility
"Phagetech, Inc.",Targanta Therapeutics ,1,0,directed,Mobility
Universite d'Angers ,Targanta Therapeutics ,1,1,directed,Mobility
"CERESTECH, INC.",TEKNOR APEX COMPANY ,1,1,undirected,Cooperation
"Polyvalor, Limited Partnership ",TEKNOR APEX COMPANY ,1,1,directed,Mobility
Ecopia Biosciences Inc.,"Tetraphase Pharmaceuticals, Inc.",1,1,directed,Mobility
Gemin X Biotechnologies ,"Tetraphase Pharmaceuticals, Inc.",1,0,directed,Mobility
ID Biomedical Corporation of Quebec ,"Tetraphase Pharmaceuticals, Inc.",1,1,directed,Mobility
Montedison S.p.A.,The Abestos Institute ,1,1,directed,Mobility
The Asbestos Institute ,The Abestos Institute ,1,1,directed,Mobility
McGill Univeristy ,The Administrators of the Tulane Educational Fund ,2,1,undirected,Cooperation
McGill Univeristy ,The Council of the Queensland Institute of Medical Research ,1,1,undirected,Cooperation
McGill Univeristy ,The Hong Kong Polytechnic University ,9,1,undirected,Cooperation
McGill Univeristy ,The Hong Kong Polytechnic University ,6,1,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,The Hong Kong Polytechnic University ,1,1,directed,Mobility
University of South Florida ,The Hong Kong Polytechnic University ,9,1,directed,Mobility
Institut de Cardiologie de Montreal ,The Hospital for Sick Children ,1,1,undirected,Cooperation
Canada Packers Limited ,The Institute of Microbiology and Hygiene of the University of Montreal ,4,1,undirected,Cooperation
Targanta Therapeutics ,The Medicines Company ,3,1,directed,Mobility
Bio-Mega Inc.,The National Research Council of Canada ,1,1,directed,Mobility
Ohio State University Research Foundation ,The Ohio State University Research Foundation ,2,0,directed,Mobility
"Exelixis Pharmaceuticals, Inc.",The Regents of the University of California ,1,1,undirected,Cooperation
Humphries; Keith ,The Regents of the University of California ,1,0,undirected,Cooperation
"Isis Pharmaceuticals, Inc.",The Regents of the University of California ,1,1,directed,Mobility
McGill Univeristy ,The Regents of the University of California ,1,1,directed,Mobility
Sauvageau; Guy ,The Regents of the University of California ,1,0,undirected,Cooperation
McGill Univeristy ,The Rockefeller University ,2,1,undirected,Cooperation
Florida Institute of Technology ,The Royal Institute for the Advancement of Learning/McGill University ,2,1,undirected,Cooperation
GERMAN CANCER RESEARCH CENTER ,The Royal Institute for the Advancement of Learning/McGill University ,2,1,undirected,Cooperation
Hong Kong Polytechnic University ,The Royal Institute for the Advancement of Learning/McGill University ,1,1,undirected,Cooperation
Li; Chao-Jun ,The Royal Institute for the Advancement of Learning/McGill University ,1,1,directed,Mobility
McGill Univeristy ,The Royal Institute for the Advancement of Learning/McGill University ,1,0,undirected,Cooperation
McGill Univeristy ,The Royal Institute for the Advancement of Learning/McGill University ,4,1,directed,Mobility
Merck Frosst Company ,The Royal Institute for the Advancement of Learning/McGill University ,2,1,directed,Mobility
Merk Frosst Canada & Co.,The Royal Institute for the Advancement of Learning/McGill University ,1,1,directed,Mobility
Novartis AG ,The Royal Institute for the Advancement of Learning/McGill University ,2,1,undirected,Cooperation
Ocean University of China ,The Royal Institute for the Advancement of Learning/McGill University ,1,1,undirected,Cooperation
"Paladin Labs, Inc.",The Royal Institute for the Advancement of Learning/McGill University ,1,0,directed,Mobility
"Polymics, LTD ",The Royal Institute for the Advancement of Learning/McGill University ,1,1,directed,Mobility
Royal Institute for the Advancement of Learning ,The Royal Institute for the Advancement of Learning/McGill University ,2,1,directed,Mobility
The Hong Kong Polytechnic University ,The Royal Institute for the Advancement of Learning/McGill University ,2,1,undirected,Cooperation
The Hong Kong Polytechnic University ,The Royal Institute for the Advancement of Learning/McGill University ,5,1,directed,Mobility
The Regents of the University of California ,The Royal Institute for the Advancement of Learning/McGill University ,1,1,undirected,Cooperation
UNIVERSITATSKLINIKUM HEIDELBERG ,The Royal Institute for the Advancement of Learning/McGill University ,9,1,directed,Mobility
Universite d'Angers ,The Royal Institute for the Advancement of Learning/McGill University ,7,0,directed,Mobility
University of South Florida ,The Royal Institute for the Advancement of Learning/McGill University ,1,1,directed,Mobility
Wisconsin Alumni Research Foundation ,The Royal Institute for the Advancement of Learning/McGill University ,6,1,directed,Mobility
Chertkow; Howard ,The Sir Mortimer B.,1,0,undirected,Cooperation
Osta Biotechnologies ,The Sir Mortimer B.,2,1,undirected,Cooperation
Queen's University at Kingston ,The Sir Mortimer B.,2,1,undirected,Cooperation
Schipper; Hyman M.,The Sir Mortimer B.,2,0,undirected,Cooperation
Institut de Cardiologie de Montreal ,The Trustees of the University of Pennsylvania ,1,1,undirected,Cooperation
"Valorisation-Recherche, Societe en Commandite ",The Trustees of the University of Pennsylvania ,4,1,directed,Mobility
Institut National de Recherche Scientifique ,"The United States of America, as represented by the Department of Health ",2,1,undirected,Cooperation
The Regents of the University of California ,The Universite de Montreal ,1,1,undirected,Cooperation
OVIVO INC ,The University of Akron ,1,1,undirected,Cooperation
Angiochem Inc.,Theratechnologies Inc.,1,0,directed,Mobility
Bioaxone Therapeutique Inc.,Theratechnologies Inc.,2,1,directed,Mobility
Conjuchem Biotechnologies Inc.,Theratechnologies Inc.,1,0,directed,Mobility
ConjuChem Inc.,Theratechnologies Inc.,1,0,directed,Mobility
Hospital Sainte-Justine ,Theratechnologies Inc.,1,1,directed,Mobility
Transfert Plus ,Theratechnologies Inc.,2,0,directed,Mobility
Universite d'Angers ,Theratechnologies Inc.,2,0,directed,Mobility
ConjuChem Inc.,Thrasos Therapeutics Inc.,1,0,directed,Mobility
Aegera Therapeutics Inc.,"Tranzyme Pharma, Inc.",1,1,directed,Mobility
Canadian Industries Limited ,Tricil Limited ,1,0,undirected,Cooperation
Micropharma Limited ,UAS Laboratories LLC ,2,1,directed,Mobility
Peiromont and Company Limited ,Union Carbide Chemicals & Plastics Technology Corporation ,1,1,undirected,Cooperation
National Research Coucil of Canada ,Union Carbide Corporation ,1,0,undirected,Cooperation
"The University of British Columbia (Vancouver, B.C.",Universidad Nacional Autonoma de Mexico,1,1,undirected,Cooperation
CONSORZIO INTERUNIVERSITARIO NAZIONALE PER LA SCIENZA E TECNOLOGIA DEI MATERIALI INSTM ,Universita Degli Studi di Milano ,1,1,undirected,Cooperation
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,Universita Degli Studi di Milano ,1,1,undirected,Cooperation
Hydro-Quebec ,Universita Degli Studi di Milano ,1,1,undirected,Cooperation
McGill Univeristy ,Universita Degli Studi di Milano ,1,1,undirected,Cooperation
SHOWA DENKO K.K.,Universita Degli Studi di Milano ,2,1,directed,Mobility
GERMAN CANCER RESEARCH CENTER ,UNIVERSITATSKLINIKUM HEIDELBERG ,2,1,undirected,Cooperation
The Royal Institute for the Advancement of Learning/McGill University ,UNIVERSITATSKLINIKUM HEIDELBERG ,2,1,undirected,Cooperation
ACADEMISCH ZIKENHUIS LEIDEN ,Universite d'Angers ,1,1,undirected,Cooperation
ACEP Inc ,Universite d'Angers ,13,1,undirected,Cooperation
"Amicus Therapeutics, Inc.",Universite d'Angers ,1,1,undirected,Cooperation
ARIZONA BOARD OF REGENTS ,Universite d'Angers ,1,1,undirected,Cooperation
Biosystemix Ltd.,Universite d'Angers ,1,1,undirected,Cooperation
Biosystemix Ltd.,Universite d'Angers ,1,1,directed,Mobility
Bristol-Meyers Company ,Universite d'Angers ,3,1,undirected,Cooperation
Bristol-Meyers Company ,Universite d'Angers ,14,1,directed,Mobility
Centre de la Recherche Scientifique ,Universite d'Angers ,1,0,undirected,Cooperation
Centre Hospitalier de l'Universite de Montreal ,Universite d'Angers ,2,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Universite d'Angers ,16,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Universite d'Angers ,1,1,directed,Mobility
CNRS ,Universite d'Angers ,2,1,undirected,Cooperation
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS ,Universite d'Angers ,1,1,undirected,Cooperation
Hopital Maisonneuve-Rosemont ,Universite d'Angers ,3,0,undirected,Cooperation
Hydro-Quebec ,Universite d'Angers ,3,0,undirected,Cooperation
Institut de Cardiologie de Montreal ,Universite d'Angers ,1,0,directed,Mobility
Institut National de la Sante et de la Recherche Medicale ,Universite d'Angers ,1,1,undirected,Cooperation
Institute of Organic Chemistry National Academy of Sciences of Ukraine ,Universite d'Angers ,2,1,undirected,Cooperation
Johnson Matthey Public Limited Company ,Universite d'Angers ,1,1,undirected,Cooperation
La Corporation de l'Ecole Polytechnique ,Universite d'Angers ,1,0,undirected,Cooperation
McGill Univeristy ,Universite d'Angers ,1,1,undirected,Cooperation
Merck Frosst Company ,Universite d'Angers ,1,1,directed,Mobility
Merck Sharp & Dohme Corp.,Universite d'Angers ,2,1,directed,Mobility
"Methyl Gene, Inc.",Universite d'Angers ,1,1,directed,Mobility
MOUNT SINAI HOSPITAL ,Universite d'Angers ,2,1,undirected,Cooperation
Phostech Lithium Inc.,Universite d'Angers ,4,1,undirected,Cooperation
SANOFI PASTEUR LIMITED ,Universite d'Angers ,1,1,undirected,Cooperation
Societe Nationale Elf Aquitaine ,Universite d'Angers ,1,1,directed,Mobility
The Regents of the University of California ,Universite d'Angers ,1,1,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,Universite d'Angers ,4,0,undirected,Cooperation
"The United States of America, as represented by the Department of Health ",Universite d'Angers ,1,1,undirected,Cooperation
Theratechnologies Inc.,Universite d'Angers ,1,1,undirected,Cooperation
Universite Joseph Fourier ,Universite d'Angers ,1,1,directed,Mobility
Val-Chum L.P.,Universite d'Angers ,5,0,directed,Mobility
"Valorisation HSJ, Limited Partnership ",Universite d'Angers ,2,0,directed,Mobility
Valorisation-Recherche L.P.,Universite d'Angers ,3,0,directed,Mobility
ViiV Healthcare UK (No.,Universite d'Angers ,2,1,directed,Mobility
McGill Univeristy ,Universite Laval ,1,1,directed,Mobility
Shire Biochem Inc.,Universite Laval ,1,1,directed,Mobility
Bristol-Meyers Company ,Universite Louis Pasteur ,1,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Universite Louis Pasteur ,3,0,undirected,Cooperation
"E. R. Squibb & Sons, Inc.",Universite Louis Pasteur ,2,1,undirected,Cooperation
Institut National de la Sante et de la Recherche Medicale ,Universite Louis Pasteur ,3,1,undirected,Cooperation
"Valorisation HSJ, Limited Partnership ",Universite Pierre Et Marie Curie ,1,1,directed,Mobility
"Valorisation HSJ, Societe en Commandite ",Universite Pierre Et Marie Curie ,1,1,directed,Mobility
"SeaTek Marine Biotechnology, Inc.",University of British Columbia ,1,1,undirected,Cooperation
Universite d'Angers ,University of Massachusettes ,1,1,undirected,Cooperation
Universite d'Angers ,University of Montreal ,3,1,directed,Mobility
"Valorisation HSJ, Societe en Commandite ",University of Montreal ,1,1,directed,Mobility
Xerox Corporation ,University of Montreal ,9,1,directed,Mobility
McGill Univeristy ,University of South Florida ,7,1,undirected,Cooperation
The Hong Kong Polytechnic University ,University of South Florida ,7,1,undirected,Cooperation
Wayne State University ,University of South Florida ,8,1,directed,Mobility
McGill Univeristy ,University of Vermont and State Agricultural College ,1,1,undirected,Cooperation
The Royal Institute for the Advancement of Learning/McGill University ,Val-Chum Limited Partnership ,4,0,undirected,Cooperation
Universite d'Angers ,Val-Chum Limited Partnership ,4,0,undirected,Cooperation
Centre Hospitalier de l'Universite de Montreal ,Val-Chum Limited Partnership ,2,0,directed,Mobility
Socovar S.E.C.,Val-Chum Limited Partnership ,2,0,undirected,Cooperation
The Royal Institute for the Advancement of Learning/McGill University ,"Val-Chum, S.E.C.",1,0,undirected,Cooperation
Universite d'Angers ,"Val-Chum, S.E.C.",2,0,directed,Mobility
Conseil National de Recherches Canada ,Valorbec Societe en Commandite ,1,1,undirected,Cooperation
THE UNIVERSITY OF MANITOBA ,Valorbec Societe en Commandite ,1,1,undirected,Cooperation
The Asbestos Institute ,Valorbec Societe en Commandite ,1,0,directed,Mobility
Universite Paul Sabatier Toulouse III ,"Valorisation HSJ, Limited Partnership ",1,1,directed,Mobility
